user,login_hour,files_accessed,commands_executed,session_duration,failed_logins
charlie,16,13,27,109,1
jack,23,4,19,18,0
grace,8,4,11,88,0
grace,8,13,25,30,1
kevin,8,9,7,38,0
frank,12,10,8,117,0
irene,18,12,24,31,1
grace,10,15,21,35,0
mike,22,7,20,99,0
oscar,21,3,23,74,0
robert,8,5,13,42,1
charlie,13,13,27,89,0
henry,23,1,25,15,1
irene,8,6,14,29,1
charlie,16,5,24,36,1
alice,10,8,12,94,0
robert,16,1,23,116,1
emma,11,14,25,48,0
henry,21,14,19,95,1
david,14,2,27,58,1
paul,9,1,10,120,0
sarah,8,2,30,74,0
queen,7,4,12,16,0
emma,11,5,21,70,0
henry,22,4,20,12,1
tom,11,10,26,69,0
linda,8,6,22,35,1
david,14,6,28,42,0
queen,17,4,29,14,1
henry,23,14,30,17,0
charlie,12,15,24,66,0
jack,23,11,9,67,1
bob,21,4,30,52,1
alice,8,4,16,86,1
nina,13,9,24,88,1
jack,22,2,15,16,1
oscar,17,12,26,37,0
alice,10,8,7,29,0
tom,7,9,15,81,1
linda,10,9,16,115,0
nina,15,3,28,73,0
nina,13,7,6,90,0
bob,22,1,17,43,1
linda,9,8,22,66,1
mike,21,11,8,71,0
linda,8,1,19,88,1
linda,10,14,15,112,1
nina,18,5,27,91,1
bob,22,12,7,60,0
sarah,9,7,20,114,1
tom,18,10,14,42,0
alice,10,15,21,98,0
david,16,8,30,83,1
irene,13,14,26,12,0
irene,6,2,24,35,0
queen,22,7,15,63,0
tom,8,1,20,50,1
tom,17,1,10,40,1
tom,10,1,6,15,0
henry,23,2,6,62,1
robert,17,14,9,54,0
mike,21,13,27,86,0
sarah,11,10,10,32,1
paul,12,11,28,55,1
oscar,6,10,23,53,0
mike,22,3,18,66,1
nina,6,12,15,88,1
frank,16,10,25,89,1
kevin,6,1,9,95,0
charlie,15,10,5,119,0
mike,21,15,8,93,0
grace,8,12,17,82,1
nina,22,7,7,77,1
alice,8,5,25,10,1
oscar,17,5,12,118,0
jack,23,3,15,94,0
kevin,7,14,27,84,0
alice,8,2,8,77,1
sarah,11,4,10,54,0
emma,11,9,5,21,0
nina,17,70,107,116,5
jack,23,5,5,51,1
kevin,20,15,27,17,1
bob,22,6,19,53,1
irene,15,4,26,40,1
emma,10,4,20,64,0
mike,21,14,26,81,1
jack,23,9,13,85,0
kevin,21,1,21,116,0
charlie,15,7,16,53,0
nina,15,10,13,62,0
sarah,10,13,15,115,0
grace,8,15,18,12,0
mike,22,15,7,106,1
bob,22,2,20,42,0
nina,12,7,21,114,0
emma,11,14,7,80,1
emma,8,10,12,80,1
alice,10,4,8,48,1
frank,16,8,6,64,0
nina,20,15,14,58,0
alice,8,4,6,99,0
alice,10,5,7,38,1
paul,8,7,15,61,1
irene,12,1,16,61,0
sarah,10,6,8,60,0
queen,11,5,21,111,0
paul,8,8,16,64,0
robert,20,3,30,101,0
mike,23,4,16,28,1
henry,21,7,23,106,1
oscar,15,5,8,92,0
kevin,18,1,13,22,1
henry,22,5,22,57,1
kevin,15,15,25,37,1
emma,10,4,22,42,0
linda,8,1,25,34,0
charlie,12,8,24,18,1
emma,8,9,20,93,1
irene,6,11,29,104,1
linda,11,7,25,112,1
queen,7,11,7,17,1
kevin,10,4,25,19,1
bob,23,9,16,79,0
nina,14,12,7,53,0
sarah,9,11,30,47,0
bob,21,15,7,10,1
jack,23,4,27,107,0
charlie,16,10,30,10,0
emma,9,6,26,66,1
bob,23,6,6,110,1
tom,14,108,140,67,4
irene,6,13,16,11,0
queen,9,10,18,64,0
emma,9,1,19,29,1
mike,23,4,28,43,0
tom,10,15,19,90,0
sarah,9,13,13,32,0
linda,9,10,16,33,0
kevin,14,1,25,58,1
grace,9,12,14,46,1
queen,12,8,12,58,1
frank,16,5,28,105,0
irene,22,7,21,83,0
bob,21,15,9,28,1
charlie,15,5,8,41,1
kevin,13,11,9,47,0
paul,9,1,19,81,0
queen,12,6,11,25,0
robert,20,4,9,96,1
oscar,12,10,18,117,0
kevin,17,5,17,91,0
oscar,12,14,25,71,1
mike,23,4,25,36,1
david,13,11,21,19,1
charlie,14,12,26,66,0
mike,22,9,21,32,0
queen,13,10,17,51,1
tom,18,15,24,54,1
irene,12,3,14,109,0
henry,22,9,5,63,0
grace,8,3,27,93,0
linda,8,4,9,93,1
mike,22,1,28,103,1
linda,9,11,18,30,1
bob,21,6,29,66,1
sarah,11,3,22,50,1
david,14,6,26,57,1
irene,6,6,29,34,0
henry,21,12,22,36,1
irene,19,11,28,69,1
charlie,13,14,18,46,1
henry,23,13,6,88,0
grace,9,6,5,28,1
alice,10,2,28,73,1
irene,11,2,17,94,0
mike,23,10,27,103,1
linda,9,8,14,39,1
tom,6,4,21,100,1
alice,8,14,19,98,1
sarah,8,9,21,45,1
jack,21,10,18,31,1
oscar,21,8,7,16,0
frank,14,8,20,61,1
charlie,14,15,20,74,1
oscar,21,9,6,79,0
robert,20,5,19,43,0
david,12,15,18,55,0
jack,22,14,18,60,1
oscar,11,4,14,92,0
tom,19,11,15,100,1
bob,23,6,15,101,0
queen,18,7,30,19,0
mike,22,10,18,14,1
irene,16,1,16,27,0
tom,10,15,23,57,1
henry,21,9,27,118,0
oscar,22,2,13,86,0
queen,14,15,21,38,1
frank,12,2,9,50,0
frank,14,4,22,57,1
jack,21,12,20,46,0
robert,21,6,15,32,0
irene,8,15,7,14,1
jack,21,2,28,41,1
alice,10,3,13,120,0
henry,22,6,11,11,1
tom,18,10,13,11,1
charlie,14,5,28,111,1
jack,21,8,16,46,1
kevin,11,1,5,81,0
mike,22,1,16,35,1
sarah,10,1,30,91,0
bob,23,15,14,41,1
oscar,13,12,17,101,0
kevin,8,8,20,41,1
frank,12,9,5,45,0
david,16,12,29,82,1
linda,9,7,9,52,1
frank,14,13,9,69,0
kevin,18,7,24,78,0
mike,22,4,25,17,1
henry,23,5,6,18,1
frank,16,40,108,31,3
frank,14,8,26,71,0
oscar,15,3,25,30,1
alice,9,46,196,78,4
emma,8,10,9,70,1
alice,10,1,20,120,1
charlie,13,2,25,47,1
henry,23,9,26,94,1
queen,15,13,5,78,0
queen,8,7,28,12,0
david,14,5,15,64,0
emma,8,15,14,92,0
jack,22,15,12,59,1
frank,13,3,27,120,0
frank,13,1,29,33,0
tom,10,4,15,120,1
sarah,10,13,24,33,0
paul,13,10,20,20,0
oscar,8,4,23,95,0
kevin,12,14,27,53,1
robert,22,2,15,72,1
charlie,16,9,9,40,0
queen,16,11,8,11,0
emma,10,14,9,104,1
charlie,12,7,11,48,0
linda,9,11,6,20,0
grace,10,15,5,15,1
linda,9,10,22,16,1
bob,22,14,27,56,1
jack,23,6,23,58,0
alice,10,9,25,62,0
tom,12,74,151,120,3
nina,10,4,26,49,1
bob,23,15,25,61,0
oscar,14,10,16,26,0
alice,8,12,26,80,1
bob,23,12,13,113,0
oscar,14,14,20,120,0
frank,13,14,22,11,1
grace,11,12,7,97,1
oscar,18,5,9,94,0
kevin,14,13,8,120,0
queen,15,10,10,92,1
mike,23,5,16,35,1
jack,23,7,13,112,1
nina,12,12,21,54,0
mike,22,14,14,97,1
sarah,11,14,11,13,1
oscar,12,15,25,107,1
paul,9,13,7,38,1
david,12,11,11,69,0
oscar,17,13,26,86,0
oscar,22,4,18,15,1
grace,9,2,15,81,0
bob,22,5,6,39,1
alice,9,7,27,99,1
irene,18,10,24,40,0
irene,8,9,22,38,1
frank,16,7,11,94,0
paul,22,2,28,77,1
paul,9,8,22,79,0
charlie,16,13,12,64,1
alice,10,10,27,102,0
sarah,9,9,19,86,0
david,13,13,23,94,0
tom,7,9,17,64,1
linda,8,9,20,83,0
sarah,8,8,17,101,1
mike,23,1,6,111,1
mike,22,8,25,75,0
emma,10,8,13,81,1
grace,8,12,8,99,1
paul,22,4,23,80,0
oscar,11,1,10,16,1
emma,8,8,10,55,1
nina,11,13,6,111,0
linda,10,2,20,40,0
alice,10,3,30,96,0
henry,23,1,9,119,1
frank,14,2,19,29,0
tom,20,9,22,42,1
robert,11,96,174,44,6
queen,11,5,16,52,0
emma,9,5,8,24,1
alice,11,2,9,36,0
kevin,17,2,12,27,0
emma,9,1,8,97,0
david,14,13,20,87,0
henry,23,11,8,73,1
grace,8,9,19,113,1
alice,8,2,27,96,1
linda,9,5,27,74,1
david,13,10,16,42,0
tom,14,12,29,44,0
kevin,22,11,6,10,1
henry,22,7,11,45,0
queen,13,1,24,20,0
mike,23,11,10,82,0
sarah,11,13,25,65,0
alice,11,4,30,26,0
robert,10,8,18,67,0
alice,8,9,19,53,1
queen,8,15,16,103,1
robert,18,5,28,114,1
oscar,8,10,16,84,0
david,14,15,7,27,0
irene,20,9,21,69,0
grace,8,4,28,101,0
robert,11,7,29,57,1
tom,18,12,6,45,1
sarah,9,2,12,98,1
bob,23,60,150,65,3
nina,20,1,8,53,0
mike,21,14,6,108,0
tom,8,9,6,35,0
paul,18,8,29,97,0
charlie,12,7,5,28,0
jack,23,1,30,54,1
irene,8,2,19,61,0
tom,21,6,22,97,1
kevin,18,4,5,69,1
charlie,13,4,25,81,1
grace,11,6,27,61,1
charlie,13,8,18,74,0
alice,11,12,16,16,0
kevin,7,5,28,102,0
grace,9,14,23,77,0
frank,12,7,28,75,1
charlie,12,7,11,37,1
grace,8,4,28,46,1
robert,6,11,8,110,0
jack,21,8,17,23,1
kevin,19,3,24,42,0
linda,9,3,20,117,0
emma,9,2,24,43,0
alice,8,13,21,55,1
grace,10,6,19,97,1
mike,21,1,26,87,1
mike,22,1,25,60,1
david,14,11,28,101,0
frank,13,1,30,60,0
queen,8,13,14,50,1
mike,21,12,6,70,1
sarah,8,1,29,114,1
grace,9,12,26,40,1
queen,17,11,27,91,0
paul,15,13,16,51,1
kevin,20,15,19,95,1
alice,11,13,28,83,0
bob,23,6,5,61,0
tom,7,15,16,106,0
tom,17,1,28,82,0
emma,8,10,16,108,0
linda,11,1,22,98,1
mike,23,11,10,61,0
bob,21,5,21,74,1
irene,11,11,19,113,0
linda,9,5,14,39,0
paul,21,12,28,80,1
emma,9,15,19,107,1
paul,12,9,17,113,1
bob,21,14,29,45,1
grace,11,14,13,113,1
nina,6,5,26,63,0
oscar,9,1,10,50,1
grace,9,8,28,24,0
queen,17,2,18,56,0
david,14,8,23,95,0
robert,22,5,19,65,1
bob,21,5,11,94,0
alice,11,2,5,18,1
kevin,7,14,22,92,0
oscar,20,10,28,106,0
paul,8,4,30,109,1
linda,10,3,7,36,0
mike,21,7,23,78,0
robert,6,15,17,84,1
david,12,11,11,106,1
tom,19,11,10,18,0
irene,17,88,179,44,5
emma,10,13,11,13,0
henry,23,5,23,20,0
bob,22,10,19,31,0
kevin,14,12,19,112,0
irene,17,2,25,101,0
robert,17,12,11,27,0
robert,6,13,7,48,0
irene,12,5,25,30,1
queen,13,12,18,20,0
oscar,18,15,21,78,0
robert,17,11,16,19,1
jack,23,5,7,64,1
sarah,9,2,14,87,0
sarah,9,13,21,91,0
alice,9,13,9,91,1
charlie,15,5,19,70,1
bob,21,4,24,103,0
grace,11,13,15,110,0
robert,16,9,7,116,1
queen,13,6,15,52,0
irene,6,3,12,58,0
mike,21,5,21,36,1
queen,22,14,15,97,0
tom,7,9,8,53,1
sarah,10,13,21,10,0
linda,8,6,10,85,0
emma,9,5,23,80,1
bob,21,3,18,74,0
charlie,14,9,18,31,0
charlie,14,5,16,15,0
robert,14,11,11,26,0
nina,8,10,21,100,0
charlie,14,10,28,65,0
linda,8,3,12,66,0
charlie,12,5,19,78,0
bob,23,3,5,24,1
linda,11,2,10,77,0
jack,22,6,26,32,0
david,13,9,29,102,1
tom,9,3,14,88,0
nina,13,5,23,48,0
emma,8,7,29,32,0
linda,8,3,20,96,0
nina,17,14,9,18,1
paul,22,7,11,89,0
oscar,6,11,11,50,1
tom,16,9,27,66,1
oscar,18,3,23,93,0
mike,21,3,15,96,1
jack,22,8,17,103,1
oscar,17,6,25,117,0
mike,22,1,30,17,1
linda,8,9,16,34,1
david,12,14,19,20,0
grace,8,13,29,47,0
queen,18,13,6,34,1
jack,21,5,25,64,1
charlie,13,15,25,23,1
emma,10,3,23,17,1
emma,9,13,19,98,0
jack,23,8,10,17,0
irene,16,4,11,15,1
emma,11,2,20,20,0
linda,10,12,10,16,1
bob,22,10,22,11,1
tom,9,3,7,113,0
bob,22,9,24,94,0
grace,9,6,27,90,1
grace,10,15,23,56,0
frank,12,10,6,65,0
queen,20,12,28,86,1
paul,13,14,19,80,0
oscar,8,15,8,44,0
irene,8,2,26,65,1
emma,10,11,8,93,0
tom,6,15,5,97,1
queen,11,1,10,100,1
emma,10,13,14,87,1
david,13,11,12,33,1
queen,10,14,8,76,1
frank,16,95,170,71,3
nina,11,14,12,44,1
bob,23,7,21,12,1
emma,10,4,10,17,0
frank,12,14,29,90,1
frank,12,6,29,39,1
david,13,9,19,62,1
irene,9,13,22,73,1
sarah,11,14,12,19,0
alice,9,6,29,91,0
david,15,3,23,87,0
kevin,11,9,12,99,1
alice,11,3,5,17,0
grace,9,2,15,40,0
henry,21,7,14,102,0
bob,22,2,18,117,1
mike,21,4,28,63,1
irene,14,4,23,62,1
jack,22,2,6,79,1
david,16,1,18,39,0
linda,11,8,13,52,0
emma,10,3,15,38,1
irene,11,11,21,113,0
kevin,9,3,22,68,1
robert,20,4,16,22,1
oscar,7,13,14,36,1
sarah,8,7,26,23,0
bob,23,2,14,45,1
oscar,10,13,11,90,0
nina,15,4,17,62,1
paul,8,12,10,97,1
linda,8,15,18,13,0
bob,21,7,29,30,0
jack,21,8,10,111,0
irene,18,4,22,25,1
kevin,21,10,13,19,1
frank,16,6,11,101,0
frank,14,6,8,66,0
irene,6,14,30,40,0
bob,22,14,15,15,1
emma,8,1,5,44,0
mike,23,8,23,107,1
david,12,15,13,41,1
emma,9,8,23,45,1
kevin,21,8,11,43,1
grace,8,15,7,19,1
oscar,13,6,10,22,0
alice,10,3,13,12,0
sarah,10,15,16,116,0
charlie,12,9,22,108,1
queen,6,10,25,73,1
grace,10,11,28,107,1
nina,21,5,14,118,0
sarah,11,12,10,18,0
nina,7,15,23,46,0
bob,23,14,15,38,1
henry,23,3,7,54,1
mike,22,15,23,78,1
irene,12,12,24,88,0
sarah,8,13,25,84,1
mike,22,8,18,59,1
queen,16,6,18,102,1
mike,23,10,5,74,1
kevin,16,10,21,77,0
henry,23,4,23,100,0
henry,21,9,18,110,0
kevin,18,1,11,24,1
grace,11,4,26,43,0
henry,21,14,29,91,1
tom,20,4,13,75,1
emma,10,9,10,37,0
emma,9,1,9,107,1
bob,21,7,27,32,1
mike,21,9,27,45,0
henry,23,6,12,100,1
frank,15,2,25,63,1
emma,10,3,23,97,0
paul,12,14,30,65,0
emma,8,4,28,110,1
bob,21,10,25,75,0
david,15,3,22,42,0
sarah,10,11,19,50,0
bob,23,11,22,24,1
bob,22,10,16,52,0
irene,17,5,5,66,0
charlie,14,8,21,10,1
oscar,20,11,15,104,0
sarah,10,11,28,108,1
oscar,12,2,8,104,1
alice,8,14,18,52,0
kevin,7,8,29,21,1
paul,11,10,25,54,0
david,14,5,17,108,1
frank,16,5,17,75,0
kevin,20,3,7,54,1
queen,6,13,17,87,0
irene,11,3,16,20,0
queen,15,15,23,97,1
jack,23,3,16,24,0
alice,8,4,27,77,1
robert,15,10,12,70,1
nina,17,107,138,41,5
charlie,16,11,10,117,0
irene,11,9,28,40,1
jack,22,13,24,87,1
linda,9,14,10,64,0
tom,17,6,19,59,1
kevin,10,6,25,18,0
jack,22,11,22,110,1
frank,15,2,15,46,0
charlie,14,66,135,39,4
queen,10,9,10,97,0
queen,8,3,10,43,1
frank,12,3,10,97,0
henry,22,15,9,79,1
mike,23,9,18,46,0
linda,11,1,11,44,0
oscar,14,1,23,60,0
mike,22,1,9,77,1
oscar,7,3,7,15,1
david,13,13,26,81,0
alice,8,1,8,81,0
linda,11,11,24,119,1
robert,10,13,7,53,1
charlie,14,11,15,54,0
david,14,9,24,60,0
linda,9,12,8,71,0
emma,10,8,10,34,0
emma,9,6,13,54,0
emma,9,14,9,101,1
sarah,10,15,13,16,0
sarah,10,2,15,105,1
paul,6,14,20,115,0
tom,17,8,26,105,0
jack,21,14,25,94,1
robert,18,10,27,14,0
queen,15,15,9,32,0
sarah,8,9,14,88,0
robert,14,5,16,84,1
alice,10,120,147,30,8
tom,21,2,18,34,0
oscar,8,10,10,33,0
linda,11,11,9,115,0
emma,10,8,9,81,0
queen,7,15,29,35,0
paul,7,3,17,21,1
emma,9,6,9,102,0
henry,23,11,18,117,1
charlie,14,1,7,21,1
oscar,8,9,24,12,0
queen,19,14,19,46,0
charlie,16,4,7,56,1
kevin,18,13,22,92,0
charlie,12,9,18,36,1
mike,23,9,24,30,0
robert,12,15,30,96,0
nina,6,3,17,116,0
